date,day_of_week,dep_to_campus,arr_to_campus,dur_to_campus,dep_to_home,arr_to_home,dur_to_home,rain_to_home,crowded_unilink_to_home
2025-09-29,Monday,7:00:00 AM,9:18:00 AM,138,3:08:00 PM,5:30:00 PM,142,TRUE,TRUE
2025-10-01,Wednesday,7:00:00 AM,9:14:00 AM,134,12:00:00 PM,2:07:00 PM,127,TRUE,FALSE
2025-10-02,Thursday,11:40:00 AM,1:45:00 PM,125,6:18:00 PM,9:23:00 PM,185,TRUE,TRUE
2025-10-03,Friday,6:00:00 AM,8:05:00 AM,125,11:15:00 AM,1:50:00 PM,155,FALSE,FALSE
2025-10-06,Monday,7:05:00 AM,9:15:00 AM,130,3:15:00 PM,6:00:00 PM,165,FALSE,FALSE
2025-10-08,Wednesday,7:05:00 AM,9:05:00 AM,120,12:13:00 PM,1:54:00 PM,101,FALSE,FALSE
2025-10-09,Thursday,10:45:00 AM,12:45:00 PM,120,5:53:00 PM,8:10:00 PM,137,TRUE,TRUE
2025-10-10,Friday,6:00:00 AM,8:25:00 AM,145,11:15:00 AM,12:55:00 PM,100,FALSE,FALSE
2025-10-13,Monday,6:10:00 AM,8:11:00 AM,121,3:09:00 PM,5:04:00 PM,115,FALSE,FALSE
2025-10-16,Thursday,10:50:00 AM,12:49:00 PM,119,5:44:00 PM,7:59:00 PM,135,FALSE,TRUE
2025-10-17,Friday,5:56:00 AM,8:03:00 AM,127,10:57:00 AM,1:13:00 PM,136,FALSE,FALSE
2025-10-20,Monday,6:03:00 AM,8:05:00 AM,122,3:00:00 PM,5:08:00 PM,128,TRUE,TRUE
2025-10-22,Wednesday,8:50:00 AM,10:45:00 AM,115,12:00:00 PM,2:06:00 PM,126,TRUE,TRUE
2025-10-23,Thursday,10:50:00 AM,12:51:00 PM,121,5:54:00 PM,7:58:00 PM,124,TRUE,TRUE
2025-10-24,Friday,5:50:00 AM,8:03:00 AM,133,10:49:00 AM,12:55:00 PM,126,FALSE,FALSE
2025-11-03,Monday,6:06:00 AM,8:02:00 AM,116,2:52:00 PM,5:10:00 PM,138,FALSE,FALSE
2025-11-05,Wednesday,7:00:00 AM,9:20:00 AM,140,12:05:00 PM,2:00:00 PM,115,FALSE,FALSE
2025-11-06,Thursday,10:54:00 AM,1:40:00 PM,166,6:11:00 PM,7:57:00 PM,106,TRUE,TRUE
2025-11-07,Friday,7:06:00 AM,9:08:00 AM,122,11:15:00 AM,1:07:00 PM,112,FALSE,TRUE
2025-11-10,Monday,6:04:00 AM,8:05:00 AM,121,2:50:00 PM,4:58:00 PM,128,FALSE,FALSE
2025-11-12,Wednesday,9:49:00 AM,11:45:00 AM,116,12:51:00 PM,2:58:00 PM,127,TRUE,FALSE
2025-11-13,Thursday,10:52:00 AM,12:44:00 PM,112,5:43:00 PM,8:09:00 PM,146,TRUE,TRUE
2025-11-14,Friday,6:12:00 AM,8:35:00 AM,143,11:05:00 AM,1:08:00 PM,123,TRUE,FALSE
2025-11-17,Monday,6:55:00 AM,9:10:00 AM,135,3:48:00 PM,6:00:00 PM,132,FALSE,FALSE
2025-11-19,Wednesday,6:50:00 AM,9:07:00 AM,137,12:07:00 PM,1:55:00 PM,108,FALSE,FALSE
2025-11-20,Thursday,10:55:00 AM,1:05:00 PM,130,5:07:00 PM,7:20:00 PM,133,FALSE,FALSE
2025-11-24,Monday,6:05:00 AM,8:02:00 AM,117,2:52:00 PM,5:15:00 PM,143,FALSE,FALSE
2025-11-26,Wednesday,7:17:00 AM,9:19:00 AM,122,12:00:00 PM,2:05:00 PM,125,TRUE,TRUE
2025-11-27,Thursday,10:53:00 AM,12:55:00 PM,122,5:00:00 PM,7:19:00 PM,139,TRUE,TRUE
2025-12-01,Monday,6:00:00 AM,8:06:00 AM,126,10:47:00 AM,12:55:00 PM,128,FALSE,FALSE
